2016-04-09 06:23:14,583 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 06:23:14,589 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-09 06:23:14,591 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-09 06:23:14,596 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-09 06:23:31,041 [JavaFX Application Thread] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-04-09 06:23:36,337 [Worker-9] INFO  o.e.m.i.launch.MavenLaunchDelegate - E:\Term 8\J2EE\Quan-Ly-Can-Bo-Thanh-Doan\source\qlcb
2016-04-09 06:23:36,337 [Worker-9] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B 
2016-04-09 06:23:58,790 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-04-09 06:23:59,528 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.springmvc:qlcb:1.0.0-BUILD-SNAPSHOT @ E:\Term 8\J2EE\Quan-Ly-Can-Bo-Thanh-Doan\source\qlcb\pom.xml.
2016-04-09 06:24:01,619 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /qlcb/src/main/java
2016-04-09 06:24:01,620 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /qlcb/src/main/resources
2016-04-09 06:24:01,620 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /qlcb/src/test/java
2016-04-09 06:24:01,620 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /qlcb/src/test/resources
2016-04-09 06:24:03,513 [Worker-0] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for qlcb
2016-04-09 06:24:03,518 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 4 sec
2016-04-09 06:24:04,994 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
